case_id,province,city,group,infection_case,confirmed,latitude,longitude
52,Chungcheongnam-do,Seosan-si,TRUE,Seosan-si Laboratory,8,37.000354,126.354443
53,Chungcheongnam-do,-,FALSE,etc,1,-,-
54,Jeollabuk-do,-,FALSE,contact with patient,2,-,-
55,Jeollabuk-do,from other city,TRUE,Shincheonji Church,1,-,-
56,Jeollabuk-do,-,FALSE,overseas inflow,1,-,-
57,Jeollabuk-do,-,FALSE,etc,3,-,-
58,Jeollanam-do,from other city,TRUE,Shincheonji Church,1,-,-
59,Jeollanam-do,-,FALSE,overseas inflow,1,-,-
60,Jeollanam-do,-,FALSE,contact with patient,1,-,-
61,Jeollanam-do,-,FALSE,etc,1,-,-
62,Gyeongsangbuk-do,from other city,TRUE,Shincheonji Church,503,-,-
63,Gyeongsangbuk-do,Cheongdo-gun,TRUE,Cheongdo Daenam Hospital,119,35.64887,128.7368
64,Gyeongsangbuk-do,Bonghwa-gun,TRUE,Bonghwa Pureun Nursing Home,56,36.92757,128.9099
65,Gyeongsangbuk-do,from other city,TRUE,Pilgrimage to Israel,49,-,-
66,Gyeongsangbuk-do,Chilgok-gun,TRUE,Milal Shelter,25,36.0581,128.4941
67,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Seorin Nursing Home,21,35.782149,128.801498
68,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
69,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Cham Joeun Community Center,15,35.82558,128.7373
70,Gyeongsangbuk-do,-,FALSE,etc,320,-,-
71,Gyeongsangnam-do,from other city,TRUE,Shincheonji Church,29,-,-
72,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang Church,10,35.68556,127.9127
73,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
74,Gyeongsangnam-do,Changwon-si,TRUE,Hanmaeum Changwon Hospital,7,35.22115,128.6866
75,Gyeongsangnam-do,Changnyeong-gun,TRUE,Changnyeong Coin Karaoke,7,35.54127,128.5008
76,Gyeongsangnam-do,from other city,TRUE,Onchun Church,2,-,-
77,Gyeongsangnam-do,-,FALSE,etc,22,-,-
78,Jeju-do,-,FALSE,etc,4,-,-
